age,height_cm,weight_kg,preferred_foot,sprint_30m_sec,vertical_jump_cm,agility_t_sec,coopers_m,knee_angle_mean,knee_angle_std,hip_sway_mean,step_proxy_mean,academy_accept,speed_score,power_score,endurance_score
17,187,64,راست,4.34,38,11.84,3170,152,8.6,0.07,0.018,0,83.0,57.0,78.0
18,166,66,راست,4.71,53,12.29,3082,168,5.2,0.079,0.005,0,64.0,80.0,72.0
16,168,78,راست,4.04,64,12.4,2310,164,7.8,0.095,0.006,0,98.0,96.0,40.0
18,167,69,چپ,4.04,64,10.14,2960,174,8.3,0.08,0.008,1,98.0,96.0,64.0
18,171,81,هردو,4.99,47,10.99,2862,172,4.4,0.041,0.005,0,50.0,70.0,57.0
15,161,76,چپ,4.43,61,10.27,2382,154,6.7,0.07,0.008,0,79.0,92.0,40.0
16,160,78,راست,4.15,53,10.84,3047,159,5.1,0.072,0.014,1,92.0,80.0,70.0
16,175,63,راست,4.63,52,10.42,2294,156,4.5,0.06,0.011,0,68.0,78.0,40.0
16,182,74,چپ,4.92,61,11.62,3170,174,11.9,0.082,0.018,0,54.0,92.0,78.0
18,182,71,چپ,4.26,41,10.97,2573,166,6.6,0.095,0.017,0,87.0,62.0,40.0
17,189,84,چپ,4.75,42,10.57,3111,156,10.5,0.095,0.01,0,62.0,63.0,74.0
16,183,71,چپ,4.1,52,10.66,2719,171,6.0,0.062,0.009,1,95.0,78.0,48.0
18,164,80,چپ,4.06,54,10.9,3099,161,9.5,0.038,0.011,1,97.0,81.0,73.0
15,162,74,راست,4.64,64,10.65,2559,174,10.1,0.099,0.014,0,68.0,96.0,40.0
17,171,66,راست,4.65,59,11.13,3099,166,8.8,0.089,0.009,0,67.0,88.0,73.0
15,167,84,چپ,4.76,46,10.08,2895,162,7.8,0.039,0.014,0,62.0,69.0,60.0
17,181,61,چپ,4.87,49,10.7,2480,169,7.3,0.094,0.011,0,56.0,74.0,40.0
18,186,56,راست,5.17,54,11.03,2394,174,6.8,0.091,0.013,0,42.0,81.0,40.0
14,162,57,راست,4.62,51,11.51,3063,153,11.4,0.066,0.012,0,69.0,76.0,71.0
17,160,71,چپ,4.39,42,10.68,2394,159,10.6,0.071,0.009,0,81.0,63.0,40.0
15,162,59,راست,4.95,48,10.33,2866,152,11.7,0.058,0.019,0,52.0,72.0,58.0
18,164,71,راست,4.32,41,10.19,2292,158,5.0,0.034,0.016,0,84.0,62.0,40.0
17,174,78,راست,4.53,48,12.35,2871,162,9.8,0.053,0.007,1,73.0,72.0,58.0
14,173,71,چپ,4.09,41,11.04,3145,167,11.5,0.086,0.018,0,96.0,62.0,76.0
14,162,81,چپ,4.03,38,11.45,2260,164,5.4,0.03,0.012,0,98.0,57.0,40.0
16,160,71,راست,5.16,36,12.3,2833,153,4.5,0.053,0.018,0,42.0,54.0,56.0
16,164,56,چپ,5.0,57,10.21,2250,164,9.9,0.058,0.017,0,50.0,86.0,40.0
15,185,56,راست,4.84,43,12.19,2602,171,8.6,0.068,0.011,0,58.0,64.0,40.0
17,182,82,راست,4.49,60,11.38,2988,151,10.7,0.094,0.005,1,75.0,90.0,66.0
17,173,76,چپ,4.21,48,10.41,2204,164,5.1,0.054,0.009,0,90.0,72.0,40.0
16,166,77,چپ,4.19,45,11.03,2665,157,10.4,0.054,0.013,0,90.0,68.0,44.0
17,186,59,چپ,4.3,34,11.94,2803,157,5.6,0.082,0.015,0,85.0,51.0,54.0
17,168,55,چپ,4.66,64,11.2,2881,166,5.3,0.062,0.009,0,67.0,96.0,59.0
14,174,55,چپ,4.86,41,12.46,3028,161,5.3,0.046,0.007,0,57.0,62.0,69.0
16,174,73,راست,4.79,54,10.94,2733,168,10.5,0.062,0.018,0,60.0,81.0,49.0
18,185,84,راست,4.34,50,11.87,2604,159,9.3,0.04,0.02,1,83.0,75.0,40.0
16,169,56,راست,5.15,52,10.98,3037,158,8.2,0.042,0.013,0,42.0,78.0,69.0
18,187,75,راست,4.89,45,12.07,2712,154,6.9,0.065,0.008,0,56.0,68.0,47.0
14,172,66,هردو,4.67,43,11.42,2844,155,11.0,0.059,0.009,0,66.0,64.0,56.0
15,178,80,راست,4.73,60,10.16,2432,169,7.1,0.094,0.005,0,63.0,90.0,40.0
17,166,60,چپ,4.5,34,10.09,2723,151,10.5,0.055,0.019,0,75.0,51.0,48.0
14,176,77,چپ,4.3,64,10.33,2545,173,7.5,0.071,0.007,0,85.0,96.0,40.0
17,179,58,چپ,4.43,52,10.03,2245,162,7.0,0.074,0.014,0,79.0,78.0,40.0
15,188,77,راست,4.91,58,10.19,2745,155,7.7,0.031,0.009,0,54.0,87.0,50.0
15,163,65,چپ,4.02,40,11.73,3144,154,6.4,0.076,0.013,0,99.0,60.0,76.0
14,189,78,راست,4.14,47,11.34,2277,174,10.0,0.042,0.015,0,93.0,70.0,40.0
